;GND-ID;Name_identifiziert;occupation_GND;birth_GND;gender;death_GND;country_GND;country_norm
17;115730001;Wawerzinek, Peter;"Schriftsteller; Regisseur; Sänger";1954;Männlich;;Deutschland;D
18;118609475;Schnabel, Johann Gottfried;"Verleger; Journalist; Chirurg; Schriftsteller";1692;Männlich;1750;Deutschland;D
19;11855817X;Johnson, Uwe;Schriftsteller;1934-07-20;Männlich;1984-02-24;"Deutschland; Großbritannien";D
20;119033364;Adams, Douglas;Schriftsteller;1952-03-11;Männlich;2001-05-11;"Großbritannien; USA";
21;11862833X;Wagner, Heinrich Leopold;"Schriftsteller; Dramatiker; Jurist";1747-02-19;Männlich;1779-03-04;"Deutschland; Frankreich";D
22;116159464;Beyer, Konrad;"Hofrat; Freimaurer; Germanist; Literarhistoriker; Schriftsteller; Stenograf";1834-07-13;Männlich;1906-03-17;Deutschland;D
23;11864291X;Tolstoj, Lev Nikolaevič;"Schriftsteller; Pazifist; Schriftsteller";1828-09-09;Männlich;1910-11-20;"Sowjetunion; Russland";
24;118614649;Singer, Isaac Bashevis;"Übersetzer; Journalist; Schriftsteller; Nobelpreisträger";1902-11-21;Männlich;1991-07-24;"USA; Polen; Juden";
25;118664123;Blumenberg, Hans;"Philosoph; Hochschullehrer; Schriftsteller";1920-07-13;Männlich;1996-03-28;Deutschland;D
26;123553148;Bayer, Xaver;Schriftsteller;1977;Männlich;;Österreich;Ö
