;Bevorzugter Name;Ländercode;Beruf oder Beschäftigung;GND-Nummer;Geburtsdatum;Geschlecht;Austrian;German;Swiss;Land
3491;Propp, Vladimir Jakovlevič;"Sowjetunion;Russland";"Volkskundler; Philologe; Hochschullehrer";119142996;1895-04-29;Männlich;0.0;0.0;0.0;
3492;Begemann, Christian;;Soziologe;143192205;1982;Männlich;;;;
3495;Gerhardt, Robert;USA;Fotograf;1099709202;1977;Männlich;0.0;0.0;0.0;
3496;Valk, Thorsten;Deutschland;Literaturwissenschaftler;124477445;1972;Männlich;0.0;1.0;0.0;D
3497;Butter, Michael;Deutschland;"Amerikanist; Philologe; Hochschullehrer";135919738;1977;Männlich;0.0;1.0;0.0;D
3498;Schmitz, Walter;Deutschland;"Germanist; Literaturwissenschaftler; Hochschullehrer";12909465X;1953;Männlich;0.0;1.0;0.0;D
3499;Carus, Carl Gustav;Deutschland;"Arzt; Gynäkologe; Naturwissenschaftler; Maler; Philosoph; Psychologe; Schriftsteller";118519352;1789-01-03;Männlich;0.0;1.0;0.0;D
3500;Booth, Wayne C.;USA;"Literaturkritiker; Hochschullehrer";119270722;1921;Unbekannt;0.0;0.0;0.0;
3501;Günzel, Stephan;Deutschland;"Philologe; Medienwissenschaftler; Philosoph; Hochschullehrer";120244721;1971;Männlich;0.0;1.0;0.0;D
3502;Kositza, Ellen;Deutschland;"Publizist; Autor; Journalist; Übersetzer";134116844;1973;Weiblich;0.0;1.0;0.0;D
3503;Stingelin, Martin;"Deutschland;Europa";Literaturwissenschaftler;12185857X;1963;Männlich;0.0;1.0;1.0;D,S
3504;Morin, Edgar;Frankreich;"Philosoph; Sozialwissenschaftler; Publizist; Regisseur; Drehbuchautor";11889773X;1921-07-08;Männlich;0.0;0.0;0.0;
3505;Treeck, Kaspar van;;Drehbuchautor;1062425871;;Männlich;;;;
3506;Keun, Irmgard;"Deutschland;Niederlande;Belgien";Schriftsteller;118722123;1905-02-06;Weiblich;0.0;1.0;0.0;D
3507;Warhol, Andy;USA;"Künstler; Drehbuchautor; Filmregisseur; Fotograf; Grafikdesigner; Illustrator; Regisseur";118629220;1928-08-06;Männlich;0.0;0.0;0.0;
3508;Weigel, Hans;"Schweiz;Österreich;Deutschland";"Schriftsteller; Dramatiker; Übersetzer; Theaterkritiker; Librettist; Schriftsteller; Kritiker";118630083;1908-05-29;Männlich;1.0;1.0;0.0;D,Ö
3509;Janisch, Wolfgang;Deutschland;Journalist;120336502;1960;Männlich;0.0;1.0;0.0;D
3510;Benyoets, Elʿazar;"Österreich;Juden;Israel;Deutschland";"Schriftsteller; Rabbiner";11887800X;1937;Männlich;1.0;1.0;0.0;D,Ö
3511;Logau, Friedrich von;Deutschland;"Schriftsteller; Regierungsrat; Liederdichter";11872889X;1605-01;Männlich;0.0;1.0;0.0;D
3512;Ovidius Naso, Publius;Römisches Reich;Schriftsteller;118590995;-0043;Männlich;0.0;0.0;0.0;
3513;Dürbeck, Gabriele;Deutschland;Literaturwissenschaftler;133883272;1961;Weiblich;0.0;1.0;0.0;D
3514;Gottwaldt, Alfred B.;Deutschland;Historiker;120663066;1949-10-04;Männlich;0.0;1.0;0.0;D
3515;Neuhaus, Volker;Deutschland;"Hochschullehrer; Übersetzer";130407577;1943-09-08;Männlich;0.0;1.0;0.0;D
3516;PeterLicht, Komponist;Deutschland;"Komponist; Popmusiker; Autor";131822519;;Männlich;0.0;1.0;0.0;D
3517;Hesse, Eva;Deutschland;"Schriftsteller; Literaturkritiker; Übersetzer";122585119;1925-03-02;Weiblich;0.0;1.0;0.0;D
3518;Mouffe, Chantal;Belgien;"Politolog; Hochschullehrer";119504898;1943-06-17;Weiblich;0.0;0.0;0.0;
3519;Kurz, Joseph Felix von;"Österreich;Deutschland";"Schauspieler; Theaterdirektor; Theaterregisseur; Schriftsteller; Schauspieler; Dramatiker; Theaterdirektor";118725602;1717-02-22;Männlich;1.0;1.0;0.0;D,Ö
3520;Pirckheimer, Willibald;Deutschland;"Historiker; Humanist; Schriftsteller; Politiker; Bibliophiler";118594605;1470-12-05;Männlich;0.0;1.0;0.0;D
3521;Farocki, Harun;"USA;Österreich;Deutschland";"Künstler; Filmregisseur; Filmproduzent; Drehbuchautor; Regisseur; Kameramann; Filmeditor; Filmregisseur; Filmkritiker";119157152;1944-01-09;Männlich;1.0;1.0;0.0;D,Ö
3522;Kortländer, Bernd;Deutschland;"Philologe; Literaturwissenschaftler; Hochschullehrer; Autor";122639359;1947;Männlich;0.0;1.0;0.0;D
3523;Schulz, Tom;Deutschland;"Lyriker; Autor; Herausgeber; Übersetzer";120416972;1970;Männlich;0.0;1.0;0.0;D
3524;Scholem, Gershom;"Deutschland;Israel";"Theologe; Philosoph; Judaist; Hochschullehrer";118610295;1897-12-05;Männlich;0.0;1.0;0.0;D
3525;Farese, Giuseppe;Italien;"Dozent; Übersetzer";121602060;1933-05-14;Männlich;0.0;0.0;0.0;
3526;Klabund;Deutschland;"Schriftsteller; Lyriker; Übersetzer";118562681;1890-11-04;Männlich;0.0;1.0;0.0;D
3527;Ludwig, Johannes;Land unbekannt;"Philologe; Priester";1054407975;1875;Männlich;0.0;0.0;0.0;
3528;Birken, Sigmund von;Deutschland;"Schriftsteller; Erzieher; Hofmeister; Schriftsteller; Schriftsteller";118511270;1626-05-05;Männlich;0.0;1.0;0.0;D
3529;Disoski, Meri;Österreich;"Politiker; Germanist";1249110416;;Weiblich;1.0;0.0;0.0;Ö
3530;Drewermann, Eugen;Deutschland;"Theologe; Priester; Schriftsteller; Psychoanalytiker";118826433;1940;Männlich;0.0;1.0;0.0;D
3531;Kniesche, Thomas W.;Deutschland;"Germanist; Hochschullehrer; Literaturwissenschaftler";136455565;1960;Unbekannt;0.0;1.0;0.0;D
3532;Böhme, Hartmut;Deutschland;"Kulturwissenschaftler; Germanist; Medizinhistoriker; Hochschullehrer";120967510;1944;Männlich;0.0;1.0;0.0;D
3533;Füssel, Stephan;Deutschland;"Germanist; Buchwissenschaftler; Hochschullehrer";124327303;1952;Männlich;0.0;1.0;0.0;D
3534;Franz, von Assisi, Heiliger;Italien;Ordensgründer;118534963;1182;Männlich;0.0;0.0;0.0;
3535;Zwarg, Robert;Deutschland;"Philosoph; Übersetzer; Wissenschaftlicher Mitarbeiter";1124177027;1981;Männlich;0.0;1.0;0.0;D
3536;Weddige, Hilkert;Deutschland;Germanist;128489332;1934;Männlich;0.0;1.0;0.0;D
3537;Gruber, Bettina;Österreich;"Philologe; Germanist";121283070;1960;Weiblich;1.0;0.0;0.0;Ö
3538;Morré, Karl;"Deutschland;Österreich";"Mundartschriftsteller; Dramatiker; Beamter; Abgeordneter; Schriftsteller; Politiker; Dramatiker";130119555;1832-11-08;Männlich;1.0;1.0;0.0;D,Ö
3539;Proust, Marcel;Frankreich;"Schriftsteller; Literaturkritiker; Essayist";118596799;1871-07-10;Männlich;0.0;0.0;0.0;
3540;Zimmermann, Hans Dieter;Deutschland;"Literaturwissenschaftler; Hochschullehrer";129082279;1940;Männlich;0.0;1.0;0.0;D
3541;Twombly, Cy;USA;"Künstler; Maler; Grafiker; Bildhauer; Objektkünstler; Fotograf";118624865;1928-04-25;Männlich;0.0;0.0;0.0;
3542;Dschingis-Khan, Mongolenreich;Mongolei;Khan;118527576;1155;Unbekannt;0.0;0.0;0.0;
3543;Ferrone, Vincenzo;Italien;Literaturwissenschaftler;172843812;1954;Männlich;0.0;0.0;0.0;
3544;Louchard, Antonin;"Frankreich;Burkina Faso";Illustrator;122915119;1954;Männlich;0.0;0.0;0.0;
3545;Zamp Kelp, Günter;"Deutschland;Österreich";Architekt;118948016;1941;Männlich;1.0;1.0;0.0;D,Ö
3546;Ostermaier, Albert;Deutschland;"Schriftsteller; Lyriker; Dramatiker";115727795;1967;Männlich;0.0;1.0;0.0;D
3547;Haiyti, Rapmusikerin;Deutschland;Rapmusiker;1152953192;1993;Weiblich;0.0;1.0;0.0;D
3548;Greiner, Martin;Deutschland;"Philologe; Germanist";116831006;1904;Männlich;0.0;1.0;0.0;D
3549;Foerster, Brigitte;Deutschland;Autor;138501432;1954;Weiblich;0.0;1.0;0.0;D
3550;Klingenberg, Darja;Deutschland;Soziolog;1205566996;1981;Weiblich;0.0;1.0;0.0;D
3551;Apel, August;Deutschland;Unternehmer;116315830;;Männlich;0.0;1.0;0.0;D
3552;Schmitzer, Stefan;Österreich;"Schriftsteller; Herausgeber";134259742;1979;Männlich;1.0;0.0;0.0;Ö
3553;Wickram, Jörg;Deutschland;Schriftsteller;118632272;1505;Männlich;0.0;1.0;0.0;D
3554;Gabler, Hans Walter;Deutschland;"Anglist; Herausgeber; Hochschullehrer";143752049;1938;Männlich;0.0;1.0;0.0;D
3555;Apel, Friedmar;Deutschland;"Philologe; Literaturwissenschaftler; Germanist";121791904;1948-09-07;Männlich;0.0;1.0;0.0;D
3556;Braun, Volker;Deutschland;"Schriftsteller; Philosoph; Dramatiker; Librettist; Schauspieler; Schriftsteller";118514644;1939-05-07;Männlich;0.0;1.0;0.0;D
3557;Lawrence, Thomas E.;Großbritannien;"Offizier; Archäologe; Geheimagent; Schriftsteller";118570366;1888-08-16;Männlich;0.0;0.0;0.0;
3558;Schmeling, Manfred;Deutschland;"Philologe; Literaturwissenschaftler";13272362X;1943;Männlich;0.0;1.0;0.0;D
3559;Nehring, Wolfgang;Deutschland;Literaturwissenschaftler;115495614;1938-11-15;Männlich;0.0;1.0;0.0;D
3560;Boldt, Hans;Deutschland;Heimatschriftsteller;1224839048;1907-09-20;Männlich;0.0;1.0;0.0;D
3561;Haschemi Yekani, Elahe;Deutschland;"Anglist; Amerikanist; Dozent";130492345;;Unbekannt;0.0;1.0;0.0;D
3562;Storm, Thilo;Deutschland;Biologe;1074969685;1974;Männlich;0.0;1.0;0.0;D
3563;Coover, Robert;USA;Schriftsteller;119068680;1932;Männlich;0.0;0.0;0.0;
3564;Mandeville, Bernard;Frankreich;"Künstler; Maler";105573516X;1921;Männlich;0.0;0.0;0.0;
3565;Rauschenbach, Sina;Deutschland;Historiker;1028814542;1971;Weiblich;0.0;1.0;0.0;D
3566;Fassmann, David;Deutschland;"Schriftsteller; Historiker";118686194;1685;Männlich;0.0;1.0;0.0;D
3567;Schrey, Dominik;Deutschland;Medienwissenschaftler;1130893359;1980;Männlich;0.0;1.0;0.0;D
3568;Troller, Georg Stefan;"Frankreich;Österreich;Deutschland;USA";"Schriftsteller; Drehbuchautor; Regisseur; Dokumentarfilmer; Regisseur; Drehbuchautor";11884248X;1921-12-10;Männlich;1.0;1.0;0.0;D,Ö
3569;Bush, George W.;USA;"Politiker; Präsident; Gouverneur";12145391X;1946-07-06;Männlich;0.0;0.0;0.0;
3570;Shakespeare, William;Großbritannien;"Schriftsteller; Dramatiker; Lyriker; Schauspieler";118613723;1564-04-23;Männlich;0.0;0.0;0.0;
3571;Egger, Oswald;"Österreich;Deutschland;Italien";"Schriftsteller; Lyriker; Zeichner";128501685;1963;Männlich;1.0;1.0;0.0;D,Ö
3572;Henscheid, Eckhard;Deutschland;"Schriftsteller; Satiriker";118927884;1941;Männlich;0.0;1.0;0.0;D
3574;Höch, Hannah;Deutschland;"Künstler; Grafiker; Maler; Fotograf; Bildhauer";118551833;1889-11-01;Weiblich;0.0;1.0;0.0;D
3575;Schwarzenberg, Friedrich von;Österreich;"Soldat; General; Schriftsteller";11941144X;1800-09-30;Männlich;1.0;0.0;0.0;Ö
3576;Bellah, Robert N.;USA;Soziologe;118822802;1927;Männlich;0.0;0.0;0.0;
3577;Frye, Northrop;Kanada;"Literaturwissenschaftler; Autor; Literaturkritiker";119012863;1912;Männlich;0.0;0.0;0.0;
3578;Simplicius, Simplicissimus;Deutschland;Publizist;12940800X;;Unbekannt;0.0;1.0;0.0;D
3579;Meyer, Clemens;Deutschland;"Schriftsteller; Übersetzer; Drehbuchautor; Schauspieler";131369180;1977;Männlich;0.0;1.0;0.0;D
3580;Müller-Doohm, Stefan;Deutschland;"Soziologe; Hochschullehrer";120752247;1942;Männlich;0.0;1.0;0.0;D
3581;Krafft-Ebing, Richard von;"Österreich;Deutschland";"Psychiater; Rechtsmediziner";118715399;1840-08-14;Männlich;1.0;1.0;0.0;D,Ö
3582;Ben-Guryon, Daṿid;Israel;Politiker;118508970;1886-10-16;Männlich;0.0;0.0;0.0;
3583;Orlowsky, Ursula;Deutschland;Germanist;115466371;1929-05-08;Weiblich;0.0;1.0;0.0;D
