;Bevorzugter Name;Ländercode;Beruf oder Beschäftigung;GND-Nummer;Geburtsdatum;Geschlecht;Austrian;German;Swiss;Land
0;Kimmich, Dorothee;Deutschland;Literaturwissenschaftler;124680755;1961;Weiblich;0.0;1.0;0.0;D
1;Hanika, Iris;Deutschland;Schriftsteller;124637140;1962;Weiblich;0.0;1.0;0.0;D
2;Kriegleder, Wynfrid;Österreich;"Germanist; Anglist; Autor; Hochschullehrer";113638205;1958;Männlich;1.0;0.0;0.0;Ö
3;Rüter, Christoph;Deutschland;"Regisseur; Drehbuchautor; Kameramann; Filmproduzent; Filmschaffender";139784683;1957-01-01;Männlich;0.0;1.0;0.0;D
4;Lewinsky, Charles;"Deutschland;Europa";"Schriftsteller; Dramaturg; Fernsehredakteur; Regisseur; Drehbuchautor; Regisseur; Dramaturg";115714987;1946-04-14;Männlich;0.0;1.0;1.0;D,S
5;Kushner, Eva;"Tschechische Republik;Kanada";"Romanist; Literaturwissenschaftler; Hochschullehrer";1036441369;1929;Weiblich;0.0;0.0;0.0;
7;Assmann, Aleida;Deutschland;"Anglist; Literaturwissenschaftler; Kulturwissenschaftler; Hochschullehrer; Regisseur";121012700;1947-03-22;Weiblich;0.0;1.0;0.0;D
8;Kirsch, Sarah;Deutschland;"Lyriker; Maler; Biolog; Librettist; Schriftsteller";118562487;1935-04-16;Weiblich;0.0;1.0;0.0;D
9;Savinkov, Boris V.;"Russland;Ukraine";"Schriftsteller; Politiker";118804855;1879;Männlich;0.0;0.0;0.0;
10;Glaser, Horst Albert;Deutschland;"Germanist; Literaturwissenschaftler";115808612;1935;Männlich;0.0;1.0;0.0;D
11;Bohlinger, Don;Land unbekannt;"Schriftsteller; Drehbuchautor; Dramaturg";137682069;1956-04;Männlich;0.0;0.0;0.0;
12;Smith, Patti;USA;"Musiker; Rocksänger; Schriftsteller; Zeichner; Fotograf; Schriftsteller";118748556;1946-12-30;Weiblich;0.0;0.0;0.0;
13;Salomon, Ernst von;"USA;Deutschland";"Schriftsteller; Drehbuchautor; Schriftsteller";118605151;1902-09-25;Männlich;0.0;1.0;0.0;D
14;Agamben, Giorgio;Italien;"Philosoph; Literaturwissenschaftler; Hochschullehrer; Essayist";119293439;1942-04-22;Männlich;0.0;0.0;0.0;
15;Walther, von der Vogelweide;Deutschland;"Schriftsteller; Troubadour; Liederdichter";118628976;1170;Männlich;0.0;1.0;0.0;D
16;Tieck, Dorothea;Deutschland;Übersetzer;11737606X;1799-03-26;Weiblich;0.0;1.0;0.0;D
17;Meslier, Jean;Frankreich;Theologe;118581295;1664-06-15;Männlich;0.0;0.0;0.0;
18;Klinger, Friedrich Maximilian von;Deutschland;"Schriftsteller; Dramatiker; Generalleutnant; Lyriker";118563319;1752-02-17;Männlich;0.0;1.0;0.0;D
19;Augé, Marc;Frankreich;"Ethnologe; Anthropologe";124840884;1935-09-02;Männlich;0.0;0.0;0.0;
20;Hempfer, Klaus W.;Deutschland;Philologe;108151751;1942;Männlich;0.0;1.0;0.0;D
21;Lem, Stanisław;Polen;"Schriftsteller; Philosoph";118571419;1921-09-12;Männlich;0.0;0.0;0.0;
22;Mechtel, Angelika;Deutschland;"Schriftsteller; Kinderbuchautor";118782797;1943;Weiblich;0.0;1.0;0.0;D
23;Folz, Hans;Deutschland;"Meistersinger; Barbier; Arzt";118534211;1435;Männlich;0.0;1.0;0.0;D
24;Mason, Zachary;USA;"Informatiker; Schriftsteller";141775769;1974-02-26;Männlich;0.0;0.0;0.0;
25;Herrmann, Elisabeth;Deutschland;"Schriftsteller; Kriminalschriftsteller; Journalist; Drehbuchautor";120025507;1959;Weiblich;0.0;1.0;0.0;D
26;Herz, Henriette;Deutschland;"Übersetzer; Schriftsteller; Erzieher";118550152;1764-09-05;Weiblich;0.0;1.0;0.0;D
27;Wertheimer, Jürgen;Deutschland;"Germanist; Literaturwissenschaftler";121398218;1947;Männlich;0.0;1.0;0.0;D
28;Siblewski, Klaus;Deutschland;"Germanist; Lektor <Verlag>";115702059;1950;Männlich;0.0;1.0;0.0;D
29;Lessing, Gotthold Ephraim;Deutschland;"Schriftsteller; Kritiker; Philosoph; Bibliothekar; Lyriker";118572121;1729-01-22;Männlich;0.0;1.0;0.0;D
30;Marie, de France;Frankreich;Schriftsteller;118577883;1135;Unbekannt;0.0;0.0;0.0;
31;Ziebritzki, Henning;Deutschland;Lyriker;120066866;1961;Männlich;0.0;1.0;0.0;D
32;Mandelkow, Karl Robert;"Niederlande;Deutschland";"Germanist; Philologe";12283299X;1926;Männlich;0.0;1.0;0.0;D
33;Kobi, Valérie;Europa;Kunsthistoriker;1137837713;;Weiblich;0.0;0.0;1.0;S
35;Petersen, Jürgen H.;Deutschland;Literaturwissenschaftler;108448568;1937-02-08;Männlich;0.0;1.0;0.0;D
38;Reuter, Julia;Deutschland;Autor;120290002X;1989;Weiblich;0.0;1.0;0.0;D
39;Mann, Erika;"Europa;Deutschland;USA";"Schriftsteller; Kabarettist; Dramatiker; Drehbuchautor; Journalist; Kriegsberichterstatter; Schauspieler; Librettist; Sänger; Schauspieler";118747436;1905-11-09;Weiblich;0.0;1.0;1.0;D,S
40;Kemper, Dirk;"Russland;Deutschland";"Philologe; Germanist";14343537X;1959;Männlich;0.0;1.0;0.0;D
41;Turk, Horst;Deutschland;"Germanist; Literaturwissenschaftler";11946098X;1935;Männlich;0.0;1.0;0.0;D
42;Ribbat, Ernst;Deutschland;Germanist;1016764049;1939;Männlich;0.0;1.0;0.0;D
43;Poschmann, Marion;Deutschland;Schriftsteller;123707021;1969;Weiblich;0.0;1.0;0.0;D
44;Klatzmann, Joseph;Frankreich;"Agrarwissenschaftler; Demograph";143900153;1921;Männlich;0.0;0.0;0.0;
45;Brockes, Barthold Heinrich;Deutschland;"Schriftsteller; Maler; Legationsrat";116551968;1715-10-15;Männlich;0.0;1.0;0.0;D
46;Reifenberg, Benno;Deutschland;"Schriftsteller; Publizist; Journalist; Kunstkritiker";11874402X;1892-07-16;Männlich;0.0;1.0;0.0;D
47;Bernstein, F. W.;Deutschland;"Pädagoge; Cartoonist; Karikaturist; Grafiker; Schriftsteller; Satiriker; Hochschullehrer";11876621X;1938-03-04;Männlich;0.0;1.0;0.0;D
48;Almond, Philip C.;Australien;"Historiker; Religionswissenschaftler; Hochschullehrer";1049483294;1950;Männlich;0.0;0.0;0.0;
49;Mayer, Günter;Deutschland;"Jurist; Autor";131774794;;Männlich;0.0;1.0;0.0;D
50;Quaschning, Volker;Deutschland;"Elektroingenieur; Hochschullehrer";114654263;1969;Männlich;0.0;1.0;0.0;D
51;Loschütz, Gert;Deutschland;"Schriftsteller; Dramatiker; Drehbuchautor; Übersetzer; Schriftsteller";120771144;1946-10-09;Männlich;0.0;1.0;0.0;D
52;Horňáček, Milan;"Deutschland;Tschechische Republik";Germanist;1091588759;1977;Männlich;0.0;1.0;0.0;D
53;Stanišić, Saša;"Deutschland;Bosnien-Herzegowina";"Schriftsteller; Drehbuchautor; Kinderbuchautor";132082179;1978-03-07;Männlich;0.0;1.0;0.0;D
54;Bausinger, Hermann;Deutschland;"Ethnologe; Kulturwissenschaftler; Volkskundler; Linguist";119262991;1926-09-17;Männlich;0.0;1.0;0.0;D
55;Gay, John;Großbritannien;"Schriftsteller; Komponist; Librettist; Schriftsteller";118716573;1685-09-10;Männlich;0.0;0.0;0.0;
56;Clair, Jean;Frankreich;"Kunsthistoriker; Museumsdirektor; Schriftsteller; Essayist";120193183;1940;Männlich;0.0;0.0;0.0;
57;Dickinson, Emily;USA;"Lyriker; Librettist";118525255;1830-12-10;Weiblich;0.0;0.0;0.0;
58;Dach, Simon;"Litauen;Deutschland;Russland";"Schriftsteller; Philosoph; Theologe; Hochschullehrer; Komponist; Schriftsteller; Dramatiker";11852321X;1605-07-29;Männlich;0.0;1.0;0.0;D
59;Juan, Don;Land unbekannt;Musiker;134420489;;Männlich;0.0;0.0;0.0;
60;Goetz, Rainald;Deutschland;"Schriftsteller; Psychologe; Historiker; Musiker; Librettist; Schriftsteller";119501651;1954-05-24;Männlich;0.0;1.0;0.0;D
62;Steinaecker, Thomas von;Deutschland;"Schriftsteller; Filmregisseur; Journalist; Literaturwissenschaftler; Regisseur";132866676;1977;Männlich;0.0;1.0;0.0;D
63;Shaleṿ, Tseruyah;Israel;Schriftsteller;12184837X;1959-04-13;Weiblich;0.0;0.0;0.0;
64;Frölich, Henriette;Deutschland;Schriftsteller;131967630;1768-07-28;Weiblich;0.0;1.0;0.0;D
65;Gittinger, Kerstin;Österreich;"Lehrer; Literaturwissenschaftler";1127082000;1987;Weiblich;1.0;0.0;0.0;Ö
66;Frischmuth, Barbara;Österreich;"Schriftsteller; Übersetzer";118693727;1941-07-05;Weiblich;1.0;0.0;0.0;Ö
67;Bassewitz, Gerdt von;Deutschland;"Schriftsteller; Librettist; Schauspieler; Dramatiker; Soldat";117750794;1878-01-04;Männlich;0.0;1.0;0.0;D
68;Sacher-Masoch, Leopold von;"Deutschland;Österreich";"Schriftsteller; Publizist; Historiker; Hochschullehrer; Schriftsteller";118604570;1836-01-27;Männlich;1.0;1.0;0.0;D,Ö
69;Lampart, Fabian;Deutschland;"Literaturwissenschaftler; Hochschullehrer";133349810;1971;Männlich;0.0;1.0;0.0;D
70;Radiguet, Raymond;Frankreich;Schriftsteller;118787640;1903;Männlich;0.0;0.0;0.0;
71;Taymor, Julie;USA;"Theaterregisseur; Bühnenbildner; Musiker";119420759;1952;Weiblich;0.0;0.0;0.0;
72;Otto-Peters, Louise;Deutschland;"Schriftsteller; Publizist; Feminist";118590901;1819-03-26;Weiblich;0.0;1.0;0.0;D
73;Kargl, Elisabeth;"Frankreich;Österreich";Germanist;139517278;1971;Weiblich;1.0;0.0;0.0;Ö
74;Hallet, Wolfgang;Deutschland;Anglist;112714870;;Männlich;0.0;1.0;0.0;D
75;Schmerberg, Ralf;Deutschland;"Regisseur; Drehbuchautor; Filmproduzent; Fotograf; Regisseur; Drehbuchautor; Filmproduzent";121737802;1965-01-28;Männlich;0.0;1.0;0.0;D
76;Conrads, Hermann;Deutschland;Arzt;129935867;1867;Männlich;0.0;1.0;0.0;D
78;Lucadou, Julia von;Deutschland;"Autor; Redakteur; Filmwissenschaftler; Regieassistent";1140944568;1982;Weiblich;0.0;1.0;0.0;D
79;Eickhoff, Julia Katharina;Deutschland;Ärzt;141458178;1981;Unbekannt;0.0;1.0;0.0;D
80;Artmann, H. C.;"Deutschland;Österreich";"Lyriker; Schriftsteller; Übersetzer; Drehbuchautor; Schriftsteller";118504533;1921-06-12;Männlich;1.0;1.0;0.0;D,Ö
81;Altenberg, Peter;"Deutschland;Österreich";"Arzt; Schriftsteller; Jurist; Buchhändler; Librettist; Schriftsteller";118502255;1859-03-09;Männlich;1.0;1.0;0.0;D,Ö
82;Meyer, Urs;;Philologe;132308851;1967;Männlich;;;;
83;Holitscher, Arthur;"Deutschland;Europa;Ungarn";"Schriftsteller; Erzähler; Essayist; Journalist; Schriftsteller";118973096;1869-08-22;Männlich;0.0;1.0;1.0;D,S
84;Coen, Joel;USA;"Regisseur; Drehbuchautor";120150786;1954-11-29;Männlich;0.0;0.0;0.0;
85;Schweizer, Stefan;Deutschland;"Schriftsteller; Autor; Pädagoge";134228774;1973;Männlich;0.0;1.0;0.0;D
86;Schmalz, Ferdinand;Österreich;"Schriftsteller; Dramatiker; Theaterwissenschaftler";1049485521;1985;Männlich;1.0;0.0;0.0;Ö
87;Schulze, Ingo;Deutschland;"Schriftsteller; Dramaturg";120526107;1962-12-15;Männlich;0.0;1.0;0.0;D
88;Victoire, ...;Frankreich;"Schauspieler; Sänger";1043029710;;Weiblich;0.0;0.0;0.0;
89;Süss, Harald;Deutschland;"Journalist; Autor";1073457907;;Männlich;0.0;1.0;0.0;D
90;Saxl;;Schauspieler;1062122410;;Männlich;;;;
91;Prehauser, Gottfried;"Deutschland;Österreich";"Schauspieler; Schriftsteller; Dramatiker; Schauspieler; Schriftsteller; Theaterintendant; Theaterdirektor";100232000;1699-11-08;Männlich;1.0;1.0;0.0;D,Ö
92;Levithan, David;USA;"Jugendbuchautor; Verleger; Herausgeber; Dozent";122790014;1972-09-07;Männlich;0.0;0.0;0.0;
93;Susman, Margarete;"Deutschland;Europa";Schriftsteller;118620096;1872-10-14;Weiblich;0.0;1.0;1.0;D,S
94;Roth, Patrick;"USA;Deutschland";"Schriftsteller; Filmregisseur; Filmproduzent";115646000;1953;Männlich;0.0;1.0;0.0;D
95;Gründgens, Gustaf;Deutschland;"Schauspieler; Theaterintendant; Regisseur; Herstellungsleiter; Musiker; Regisseur; Schauspieler; Singstimme";118542850;1899-12-22;Männlich;0.0;1.0;0.0;D
96;Sonnleitner, Johann;Österreich;"Germanist; Romanist; Hochschullehrer";1050735862;1958;Männlich;1.0;0.0;0.0;Ö
97;Zima, Peter V.;"Tschechische Republik;Österreich";"Literaturwissenschaftler; Hochschullehrer";122308263;1946;Männlich;1.0;0.0;0.0;Ö
98;Hering Torres, Max Sebastián;"Österreich;Kolumbien";Historiker;128422009;1973;Unbekannt;1.0;0.0;0.0;Ö
99;Uther, Hans-Jörg;Deutschland;"Philologe; Literaturwissenschaftler";120514966;1944-07-20;Männlich;0.0;1.0;0.0;D
100;Miller, Norbert;Deutschland;"Kunsthistoriker; Germanist; Literaturwissenschaftler";123802938;1937-05-14;Männlich;0.0;1.0;0.0;D
101;Gahse, Zsuzsanna;"Europa;Ungarn;Deutschland";"Schriftsteller; Übersetzer";119401827;1946;Weiblich;0.0;1.0;1.0;D,S
102;Zimmermann, Bénédicte;Frankreich;Soziolog;114929750;;Weiblich;0.0;0.0;0.0;
103;Segeberg, Harro;Deutschland;"Philologe; Literaturwissenschaftler; Hochschullehrer";121870448;1942-06-09;Männlich;0.0;1.0;0.0;D
104;Pitkin, Walter B.;USA;"Psychologe; Journalist";126639523;1878-02-06;Männlich;0.0;0.0;0.0;
105;Neiman, Susan;"USA;Deutschland";"Philosoph; Autor; Hochschullehrer";113908873;1955-03-27;Weiblich;0.0;1.0;0.0;D
106;Waldmann, Peter;Deutschland;"Literaturwissenschaftler; Kulturwissenschaftler";1032226749;1964;Männlich;0.0;1.0;0.0;D
107;Ferrante, Elena;Italien;Schriftsteller;113749678;1943;Weiblich;0.0;0.0;0.0;
108;Dos Passos, John R.;USA;Rechtsanwalt;134038800;1844;Männlich;0.0;0.0;0.0;
109;Jung, Werner;Deutschland;Literaturwissenschaftler;122916751;1955;Männlich;0.0;1.0;0.0;D
110;Kohle, Hubertus;Deutschland;"Kunsthistoriker; Hochschullehrer";128625562;1959;Männlich;0.0;1.0;0.0;D
111;De Man, Paul;Belgien;"Schriftsteller; Literaturwissenschaftler; Journalist";118887203;1919;Männlich;0.0;0.0;0.0;
112;Wedekind, Frank;Deutschland;"Dramatiker; Schauspieler; Schriftsteller; Liederdichter; Komponist; Journalist; Schauspieler; Dramatiker; Dramaturg";118629867;1864-07-24;Männlich;0.0;1.0;0.0;D
113;Winkler, August Heinrich;"Polen;Deutschland";"Drucker; Verleger";141909889;1724-09-27;Männlich;0.0;1.0;0.0;D
114;Kafka, Frank;Deutschland;Jurist;115431362X;;Männlich;0.0;1.0;0.0;D
115;Roggenkamp, Viola;"Juden;Israel;Deutschland";"Schriftsteller; Journalist";124285392;1948;Weiblich;0.0;1.0;0.0;D
116;Holm, Christiane;Deutschland;"Germanist; Kunsthistoriker";1016979169;1969;Weiblich;0.0;1.0;0.0;D
117;Zeman, Herbert;"Österreich;Deutschland";Literaturwissenschaftler;121444708;1940;Männlich;1.0;1.0;0.0;D,Ö
118;Hoddis, Jakob van;Deutschland;"Schriftsteller; Lyriker; Librettist";11876442X;1887;Männlich;0.0;1.0;0.0;D
119;Kramer, Theodor;"Österreich;Deutschland;Großbritannien";"Schriftsteller; Buchhändler; Lyriker; Librettist";118715461;1897-01-01;Männlich;1.0;1.0;0.0;D,Ö
120;Hoff, Karin;Deutschland;"Skandinavist; Hochschullehrer";113499043;1963;Weiblich;0.0;1.0;0.0;D
121;Blecher, M.;"Rumänien;Juden";Schriftsteller;118943308;1909;Männlich;0.0;0.0;0.0;
122;Böhme, Gernot;Deutschland;"Philosoph; Hochschullehrer";119556898;1937-01-03;Männlich;0.0;1.0;0.0;D
123;Randt, Leif;Deutschland;Schriftsteller;139650482;1983;Männlich;0.0;1.0;0.0;D
124;Heinse, Wilhelm;Deutschland;"Schriftsteller; Bibliothekar; Übersetzer; Schriftsteller";118548565;1746-02-15;Männlich;0.0;1.0;0.0;D
125;Stolz, Dieter;Deutschland;Literaturwissenschaftler;12421732X;1960;Männlich;0.0;1.0;0.0;D
126;Coleridge, Samuel Taylor;Großbritannien;"Schriftsteller; Literaturkritiker; Philosoph; Lyriker";118521500;1772-10-21;Männlich;0.0;0.0;0.0;
128;Blom, Philipp;"Österreich;Deutschland";"Schriftsteller; Journalist; Übersetzer; Historiker; Kulturwissenschaftler";128583142;1970;Männlich;1.0;1.0;0.0;D,Ö
129;Belkin, Dmitrij;"Deutschland;Ukraine";Historiker;12235883X;1971;Männlich;0.0;1.0;0.0;D
130;Amann, Klaus;Österreich;Germanist;118099140;1949-02-22;Männlich;1.0;0.0;0.0;Ö
131;Turing, Alan;Großbritannien;"Mathematiker; Logiker";118802976;1912-06-23;Männlich;0.0;0.0;0.0;
132;Marx, Karl;"Deutschland;Großbritannien";"Philosoph; Autor; Sozialwissenschaftler; Wirtschaftswissenschaftler; Sozialist; Politiker";118578537;1818-05-05;Männlich;0.0;1.0;0.0;D
133;Wegmann, Nikolaus;"Deutschland;USA";"Literaturwissenschaftler; Germanist; Hochschullehrer";1053249187;1954;Männlich;0.0;1.0;0.0;D
134;Walser, Robert;"Deutschland;Schweiz";"Schriftsteller; Librettist; Schriftsteller; Schriftsteller";118628860;1878-04-15;Männlich;0.0;1.0;0.0;D
135;Meyer, Theodor;Deutschland;"Literaturwissenschaftler; Philologe; Philosoph; Pädagoge";117569437;1859-02-21;Männlich;0.0;1.0;0.0;D
136;Bohn, Volker;Deutschland;"Literaturwissenschaftler; Germanist; Dekan <Hochschule>";1128756528;1941-11-18;Männlich;0.0;1.0;0.0;D
137;Erll, Astrid;Deutschland;"Anglist; Germanist";128652381;1972;Weiblich;0.0;1.0;0.0;D
138;Tänzler, Dirk;;Soziologe;121642372;1955;Männlich;;;;
140;Horstkotte, Silke;Deutschland;"Philologe; Hochschullehrer";12970699X;1972;Weiblich;0.0;1.0;0.0;D
141;Icke, Robert;Großbritannien;"Autor; Regisseur; Theaterintendant";1292708794;1986-11-29;Männlich;0.0;0.0;0.0;
142;Tolstoj, Lev Nikolaevič;"Sowjetunion;Russland";"Schriftsteller; Pazifist; Schriftsteller; Lyriker";11864291X;1828-08-28;Männlich;0.0;0.0;0.0;
143;Schiller, Friedrich;Deutschland;"Schriftsteller; Dramatiker; Erzähler; Historiker; Hochschullehrer; Librettist; Arzt; Hochschullehrer; Lyriker";118607626;1759-11-17;Männlich;0.0;1.0;0.0;D
144;Borsche, Tilman;Deutschland;Philosoph;120402718;1947;Männlich;0.0;1.0;0.0;D
145;Adamowsky, Natascha;Deutschland;"Kulturwissenschaftler; Hochschullehrer";142801763;1967;Weiblich;0.0;1.0;0.0;D
146;Kerschbaumer, Sandra;Deutschland;"Literaturwissenschaftler; Journalist";173406599;1971;Weiblich;0.0;1.0;0.0;D
147;Richter, Hans Werner;Deutschland;"Schriftsteller; Buchhändler; Literaturkritiker";118600451;1908-11-12;Männlich;0.0;1.0;0.0;D
149;Spiro, Herbert J.;Deutschland;Politologe;132983745;1924-09-07;Männlich;0.0;1.0;0.0;D
150;Ehrenreich, Barbara;USA;"Sachbuchautor; Naturwissenschaftler; Journalist";108405354;1941-08-26;Weiblich;0.0;0.0;0.0;
151;Klibansky, Raymond;"Deutschland;Kanada";Philosoph;118777378;1905-10-15;Männlich;0.0;1.0;0.0;D
152;Seemann, Hellmut;Deutschland;"Jurist; Kulturmanager";129733563;1953;Männlich;0.0;1.0;0.0;D
153;Rosa, Salvator;Italien;"Künstler; Maler; Schriftsteller; Grafiker; Schauspieler; Musiker";118791141;1615-06-21;Männlich;0.0;0.0;0.0;
154;Rinnerthaler, Peter;Österreich;Wissenschaftlicher Mitarbeiter;1196909210;1985;Männlich;1.0;0.0;0.0;Ö
155;Temple, Christel N.;USA;Afrikanist;1156788013;;Weiblich;0.0;0.0;0.0;
156;Bendavid, Lazarus;"Deutschland;Juden";"Philosoph; Pädagoge; Mathematiker";116117818;1762;Männlich;0.0;1.0;0.0;D
157;Bendix, Reinhard;"USA;Deutschland";"Soziologe; Hochschullehrer; Übersetzer; Sachbuchautor";118702041;1916-02-25;Männlich;0.0;1.0;0.0;D
158;Subrahmanyam, Sanjay;"Frankreich;Indien;USA";"Wirtschaftswissenschaftler; Sozialwissenschaftler; Historiker";104218525;1961;Männlich;0.0;0.0;0.0;
159;Lakoff, George;"USA;Russland";Linguist;107951169;1941-05-24;Männlich;0.0;0.0;0.0;
160;Roche, Charlotte;"Großbritannien;Deutschland";"Moderator; Fernsehproduzent; Filmschauspieler; Schriftsteller; Autor";124894526;1978;Weiblich;0.0;1.0;0.0;D
161;Sievernich, Gereon;Deutschland;"Museologe; Kurator <Museumskunde>";138372772;1948;Männlich;0.0;1.0;0.0;D
162;Grimm, Hans;Deutschland;"Filmregisseur; Drehbuchautor";1089541953;1905-01-30;Männlich;0.0;1.0;0.0;D
163;Rupieper, Hermann-Josef;Deutschland;Historiker;11553119X;1942;Männlich;0.0;1.0;0.0;D
164;Balint, Michael;"Ungarn;Großbritannien";"Psychiater; Psychoanalytiker";118506226;1896-12-03;Männlich;0.0;0.0;0.0;
165;Zaremba, Michael;Deutschland;"Historiker; Literarhistoriker; Sachbuchautor";120445379;1955;Männlich;0.0;1.0;0.0;D
166;Jung, Franz;"Polen;Deutschland;USA;Ungarn";"Schriftsteller; Revolutionär; Wirtschaftswissenschaftler; Journalist; Dramaturg; Herausgeber; Schriftsteller; Dramaturg";118558757;1888-11-26;Männlich;0.0;1.0;0.0;D
167;Karlin, Alma M.;"Slowenien;Österreich";"Schriftsteller; Reiseschriftsteller; Journalist";120587947;1889-10-12;Weiblich;1.0;0.0;0.0;Ö
168;Delius, Christian Friedrich;Deutschland;"Theologe; Archidiakon";14308402X;1710;Männlich;0.0;1.0;0.0;D
169;Pamuk, Orhan;Türkei;"Schriftsteller; Nobelpreisträger";119104687;1952;Männlich;0.0;0.0;0.0;
170;Thorpe, Lewis G. M.;Großbritannien;"Romanist; Mediävist";126787891;1913;Männlich;0.0;0.0;0.0;
171;Beseler, Henriette;Deutschland;Krankenschwester;1126469351;1924;Weiblich;0.0;1.0;0.0;D
172;Jäger, Georg;Deutschland;"Schriftsteller; Offizier; Buchhändler";136254349;1826;Männlich;0.0;1.0;0.0;D
173;Kracauer, Siegfried;"Frankreich;USA;Deutschland";"Soziologe; Publizist; Architekt; Filmkritiker; Schriftsteller; Redakteur";118565877;1889-02-08;Männlich;0.0;1.0;0.0;D
174;Modiano, Patrick;Frankreich;"Schriftsteller; Drehbuchautor; Nobelpreisträger";118784382;1945-07-30;Männlich;0.0;0.0;0.0;
175;Rochus, Gerhild;Deutschland;Literaturwissenschaftler;1044733853;1982;Weiblich;0.0;1.0;0.0;D
177;Schmidt, Friedrich H. E.;;Chemiker;173620973;1926;Unbekannt;;;;
179;Profitlich, Ulrich;Deutschland;Hochschullehrer;12035621X;1936;Männlich;0.0;1.0;0.0;D
180;Wolffsohn, Michael;"Israel;Deutschland";"Historiker; Politologe; Publizist; Hochschullehrer";115601260;1947-05-17;Männlich;0.0;1.0;0.0;D
181;Mon, Franz;Deutschland;"Schriftsteller; Lektor <Verlag>; Drehbuchautor; Lyriker; Künstler";118583433;1926-05-06;Männlich;0.0;1.0;0.0;D
182;Kandioler, Nicole;"Deutschland;Österreich";"Medienwissenschaftler; Filmwissenschaftler; Hochschullehrer; Wissenschaftliche Mitarbeiter";1079877096;1977;Weiblich;1.0;1.0;0.0;D,Ö
183;Merkel, Angela;Deutschland;"Physiker; Politiker";119545373;1954-07-17;Weiblich;0.0;1.0;0.0;D
184;Feldman, Ron H.;USA;Historiker;1226702554;;Männlich;0.0;0.0;0.0;
185;Sansal, Boualem;Algerien;"Schriftsteller; Ingenieur; Wirtschaftswissenschaftler";124351794;1949;Männlich;0.0;0.0;0.0;
186;Schlag, Evelyn;Österreich;Schriftsteller;119559099;1952;Weiblich;1.0;0.0;0.0;Ö
188;Narr, Claus;Deutschland;Maschinenbauingenieur;134104129;1977;Männlich;0.0;1.0;0.0;D
189;Chauchat, Mathias;"Frankreich;Neukaledonien";Jurist;114045126X;1956-11-06;Männlich;0.0;0.0;0.0;
190;Humboldt, Wilhelm von;Deutschland;"Wissenschaftler; Politiker; Linguist; Diplomat; Journalist; Philosoph; Schriftsteller; Freiherr";118554727;1767-06-22;Männlich;0.0;1.0;0.0;D
191;Kaufmann, Rainer;Deutschland;"Regisseur; Drehbuchautor";130067733;1959-06-06;Männlich;0.0;1.0;0.0;D
192;Vinken, Barbara;Deutschland;"Romanist; Literaturwissenschaftler; Hochschullehrer";115577254;1960;Weiblich;0.0;1.0;0.0;D
193;Strack, Friedrich;Deutschland;Philologe;129079200;1939;Männlich;0.0;1.0;0.0;D
194;Lévinas, Emmanuel;"Frankreich;Litauen";Philosoph;118572350;1906-01-12;Männlich;0.0;0.0;0.0;
195;Breuer, Stefan;Deutschland;"Historiker; Schriftsteller";1193733898;1965;Männlich;0.0;1.0;0.0;D
196;Haggard, H. Rider;Großbritannien;Schriftsteller;11870057X;1856-06-22;Männlich;0.0;0.0;0.0;
198;Kunze, Reiner;Deutschland;"Schriftsteller; Lyriker; Übersetzer; Regisseur; Philosophie";118568124;1933-08-16;Männlich;0.0;1.0;0.0;D
199;Lewitscharoff, Sibylle;Deutschland;"Schriftsteller; Dramatiker; Religionswissenschaft";120360721;1954-04-16;Weiblich;0.0;1.0;0.0;D
200;Heimerl, Joachim;;Germanist;1019257059;;Männlich;;;;
201;Reich-Ranicki, Marcel;"Polen;USA;Schweden;Deutschland";"Schriftsteller; Musiker; Literaturkritiker; Literaturwissenschaftler; Journalist";118599194;1920-06-02;Männlich;0.0;1.0;0.0;D
202;Pfister, Manfred;Deutschland;"Literaturwissenschaftler; Anglist; Hochschullehrer; Übersetzer";130605697;1943-08-19;Männlich;0.0;1.0;0.0;D
203;Hessel, Stéphane;"Frankreich;Deutschland";"Diplomat; Lyriker; Widerstandskämpfer; Schriftsteller";120532492;1917-10-20;Männlich;0.0;1.0;0.0;D
204;Gerstäcker, Friedrich;Deutschland;"Schriftsteller; Reisender; Schriftsteller; Sänger";118538810;1816-05-10;Männlich;0.0;1.0;0.0;D
205;Der von Kürenberg;Deutschland;"Komponist; Minnesänger";118567756;;Unbekannt;0.0;1.0;0.0;D
206;Ball, Hugo;Deutschland;"Schriftsteller; Lyriker; Dramatiker; Schauspieler; Regisseur; Dramaturg";118506234;1886-02-22;Männlich;0.0;1.0;0.0;D
207;Mehnert, Elke;Deutschland;"Philologe; Hochschullehrer";129890448;1940;Weiblich;0.0;1.0;0.0;D
209;Martens, Ekkehard;Deutschland;"Philosoph; Hochschullehrer";120534819;1943;Männlich;0.0;1.0;0.0;D
210;Grimm, Jacob;Deutschland;"Philologe; Literaturwissenschaftler; Historiker; Schriftsteller; Hochschullehrer; Jurist; Bibliothekar; Literaturwissenschaftler; Freiherr";118542257;1785-01-04;Männlich;0.0;1.0;0.0;D
211;Wokalek, Marie;Deutschland;Philologe;1015324681;1980;Weiblich;0.0;1.0;0.0;D
212;Bumke, Joachim;Deutschland;"Philologe; Germanist";11571362X;1929-03-31;Männlich;0.0;1.0;0.0;D
