;GND-ID;occupation_GND;birth_GND;gender_GND;death_GND;country_GND
68;133525392;"Soziologe; Hochschullehrer";1959;Männlich;;Deutschland
69;1023712202;"Jurist; Galerist";1981;Männlich;;Deutschland
70;122202228;"Historiker; Judaist";1958;Männlich;;USA
71;130444790;"Übersetzer; Hochschullehrer; Historiker; Literaturwissenschaftler";1952;Weiblich;;Deutschland
72;136201903;"Dramatiker; Schriftsteller";1970-10-30;Weiblich;;Deutschland
73;118682261;"Schriftsteller; Philosoph; Hochschullehrer; Theologe";1805-06-05;Männlich;1892-06-12;"Deutschland; Lettland"
74;118803433;Schriftsteller;1933-03-19;Männlich;2018-05-22;USA
75;118106120;"Kunsthistoriker; Kurator <Museumskunde>";1955;Männlich;;Österreich
76;107398897X;"Wissenschaftlicher Mitarbeiter; Literaturwissenschaftler; Lehrer";1983-02-15;Männlich;;Deutschland
77;132598175;"Philologe; Literaturwissenschaftler";1938;Männlich;;Frankreich
78;119162822;;1936;Unbekannt;;USA
79;138501432;Autor;1954;Weiblich;;Deutschland
80;118558323;"Dramatiker; Schriftsteller; Lyriker; Librettist";1572-06-11;Männlich;1637-08-06;Großbritannien
81;1019430028;"Germanist; Wissenschaftlicher Mitarbeiter; Literaturwissenschaftler";1978;Männlich;;Deutschland
82;120515016;"Künstler; Schriftsteller";1959-06-17;Weiblich;;Österreich
83;113908873;"Autor; Philosoph; Hochschullehrer";1955-03-27;Weiblich;;"USA; Deutschland"
84;118610953;"Schriftsteller; Kirchenmusiker; Journalist; Musikschriftsteller; Theaterdirektor; Organist; Publizist; Komponist; Lehrer";1739-03-24;Männlich;1791-10-10;Deutschland
85;1150319844;;1980;Männlich;;Deutschland
86;118529374;"Schriftsteller; Lyriker; Librettist; Dramatiker; Übersetzer; Rechtswissenschaft";1907-02-01;Männlich;1972-12-20;"Deutschland; Österreich"
87;1082098876;"Referent; Schriftsteller";1988;Weiblich;;Deutschland
88;121573613;Literaturwissenschaftler;1965;Unbekannt;;Deutschland
89;124256813;"Historiker; Schriftsteller; Jurist";1662-06-12;Männlich;1747-03-21;Deutschland
90;116055774;"Psychiater; Schriftsteller";1889;Weiblich;1965;Österreich
91;1230558748;Literaturwissenschaftler;;Weiblich;;Deutschland
92;124185061;Schriftsteller;1885;Weiblich;1977;Deutschland
93;11879325X;"Kunsthistoriker; Anglist; Hochschullehrer; Literaturwissenschaftler";1896-09-06;Männlich;1982-03-23;Italien
94;1049967143;Literaturwissenschaftler;1977;Weiblich;;Deutschland
